,0
Flow,flow
Diameter,diameter
Status,lp_status
Knude ID,knudeid
Område,omraade
Antal børn,antalboerne
Opsamlingsadresse,opsamlingsadresse
Ejerforhold,ejerforhold
Åbningstid,toilet_aaben_tid
Leder,ledernavn
Telefon,enhedstelefonnr
Email,''
Hjemmeside,hjemmeside
Projekttype,pv_projekt_type
Projektbeskrivelse,beskrivelse_af_projekt
Kontakt,kontakt
Tlf,pv_tlf
Projekt start,start_dato
Projekt slut,slut_dato
Antal forløb pr. rode,antal_forloeb
Bydel,bydel
Lovgrundlag,lovgrundlag
Aktiveringskategori,tilbudskategori
"Antal borgere, der modtager ydelse",antal_borgere
Projekt,projekt
Læs mere i projektbanken,link
Type,type
Vejnavn,vejnavn
Hus nr,husnr
Juridisk grundlag,juridisk_grundlag
Kontakt telefon,kontakttelefon
Kontakt person 1,Kontaktperson_1
kontakt mail,kontakt_mail
Hyperlink,hyperlink_kan_kun_postes_paa_k
Institutionsstype,insttype2
Institutionstype,insttype1
Myndighed,myndighed_fuldt_navn
Myndighed forkortet,forkortet
Kontakt mail,kontakt_mail
Kontaktperson 1,kontaktperson_1
Kontaktperson 1 tlf.,kp1_tlf
Kontaktperson 1 mail,kp1_mail
Kontaktperson 2,kontaktperson_2
Kontaktperson 2 tlf.,kp2_tlf
Kontaktperson 2 mail,kp2_mail
Kontaktperson 3,kontaktperson_3
Kontaktperson 3 tlf.,kp3_tlf
Kontaktperson 3 mail,kp3_mail
Kontaktperson 4,kontaktperson_4
Kontaktperson 4 tlf.,kp4_tlf
Kontaktperson 4 mail,kp4_mail
Kontaktperson 5,kontaktperson_5
Kontaktperson 5 tlf.,kp5_tlf
Kontaktperson 5 mail,kp5_mail
Kontaktperson 6,kontaktperson_6
Kontaktperson 6 tlf.,kp6_tlf
Kontaktperson 6 mail,kp6_mail
Link,link
"Gennemsnitligt antal borgere, der modtager ydelse",gennemsnitligt_antal_sager
"if IsDefined(shape_wkt) then GeometryType(shape_wkt) else 
				""GEOMETRY UNDEFINED"" endif",pcolid
About,beskrivelse
Read more on the City of Copenhagen website,pdf_link
Navn,NAVN
Tidsramme,tidsramme
Indsats,indsats
Klik for mere information,link
